
id,title,author,synopsis
1,Where the Wild Things Are,Maurice Sendak,A mischievous boy named Max journeys to an island of wild creatures and becomes their king before returning home.
2,The Very Hungry Caterpillar,Eric Carle,A little caterpillar eats through a variety of foods before transforming into a butterfly.
3,Goodnight Moon,Margaret Wise Brown,A soothing bedtime story in which a bunny says goodnight to everything in his room.
4,Charlotte's Web,E.B. White,"A pig named Wilbur is saved from slaughter by his friend Charlotte, a spider who writes messages in her web."
5,The Cat in the Hat,Dr. Seuss,Two children are visited by a mischievous cat who turns a rainy day into chaotic fun.
6,Green Eggs and Ham,Dr. Seuss,"Sam-I-Am persistently encourages another character to try an unusual dish, who finally agrees and loves it."
7,Harry Potter and the Sorcerer's Stone,J.K. Rowling,"An orphaned boy discovers he is a wizard and attends Hogwarts, where he makes friends and confronts dark magic."
8,Matilda,Roald Dahl,A gifted girl with unkind parents and a cruel headmistress discovers she has telekinetic powers and uses them to right wrongs.
9,Charlie and the Chocolate Factory,Roald Dahl,Young Charlie Bucket tours Willy Wonka’s magical chocolate factory and wins a sweet reward.
10,"The Lion, the Witch and the Wardrobe",C.S. Lewis,"Four siblings step through a wardrobe into Narnia, a land under a witch’s spell, and help Aslan restore peace."
11,Winnie-the-Pooh,A.A. Milne,The adventures of a lovable bear and his friends in the Hundred Acre Wood.
12,The Tale of Peter Rabbit,Beatrix Potter,A naughty rabbit sneaks into Mr. McGregor’s garden and gets into trouble.
13,The Little Prince,Antoine de Saint-Exupéry,"A young prince travels from planet to planet, learning about love, loneliness and the human condition."
14,Alice's Adventures in Wonderland,Lewis Carroll,A girl named Alice falls down a rabbit hole into a whimsical world of talking creatures and bizarre events.
15,Anne of Green Gables,L.M. Montgomery,Orphan Anne Shirley finds a home at Green Gables and brings imagination and mischief to the lives of its residents.
16,A Wrinkle in Time,Madeleine L'Engle,Meg Murry and her brother travel through space and time to rescue their father from an evil force.
17,The Giving Tree,Shel Silverstein,"A selfless tree gives everything she has to a boy throughout his life, illustrating unconditional love."
18,"Oh, the Places You'll Go!",Dr. Seuss,An inspirational rhyming tale encouraging readers to face life’s ups and downs with courage and optimism.
19,The Secret Garden,Frances Hodgson Burnett,"A lonely girl discovers a neglected garden and, with new friends, brings it back to life and heals herself and others."
20,The Hobbit,J.R.R. Tolkien,"Bilbo Baggins joins a group of dwarves on a quest to reclaim their homeland from a dragon, encountering many adventures."
21,Bridge to Terabithia,Katherine Paterson,Two friends create an imaginary kingdom but are confronted with tragedy that teaches them about loss and courage.
22,The BFG,Roald Dahl,A young girl befriends a gentle giant who collects dreams and together they stop man-eating giants.
23,James and the Giant Peach,Roald Dahl,An orphan boy escapes his cruel aunts inside a giant peach and travels with insect friends to New York City.
24,Little House on the Prairie,Laura Ingalls Wilder,Laura Ingalls Wilder recounts her family’s pioneering life on the American frontier.
